subject_id,ch,ID,offset,exponent,error_mae,gof_rsquared,CF,PW,BW,sub_id,timestamp,nr_intepolated_channels,nr_dropped_ica,nr_retained_ica
sub-137,E1,0,-7.677031635125272,1.9775005537784969,0.0288202761547981,0.9956429983949072,4.573647277622718,0.4562917234520434,1.1537487894798508,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E1,0,-7.677031635125272,1.9775005537784969,0.0288202761547981,0.9956429983949072,8.486541317894028,0.648737207808253,2.333040331748055,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E1,0,-7.677031635125272,1.9775005537784969,0.0288202761547981,0.9956429983949072,11.557851911036702,0.3573597205064889,4.2735914639807655,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E1,0,-7.677031635125272,1.9775005537784969,0.0288202761547981,0.9956429983949072,16.703275231455905,0.3139391837521419,4.406299233851203,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E2,1,-7.824020809554645,1.8043212432219096,0.0267471329873811,0.9965908101736252,4.498015736077918,0.3679261494542079,1.1611911742721834,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E2,1,-7.824020809554645,1.8043212432219096,0.0267471329873811,0.9965908101736252,8.314207822997158,0.5813699820382006,1.9328988391754176,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E2,1,-7.824020809554645,1.8043212432219096,0.0267471329873811,0.9965908101736252,10.2916486448952,0.4235069485771774,2.712362317280925,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E2,1,-7.824020809554645,1.8043212432219096,0.0267471329873811,0.9965908101736252,13.603169768916851,0.2621295618607036,2.834640689417488,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E2,1,-7.824020809554645,1.8043212432219096,0.0267471329873811,0.9965908101736252,17.12856827300505,0.229918779266633,3.2039111285587816,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E3,2,-7.8856422634484495,1.8103686187795405,0.036830669355848,0.9944018983744104,4.39716498198373,0.179850026680489,1.0000000000000469,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E3,2,-7.8856422634484495,1.8103686187795405,0.036830669355848,0.9944018983744104,9.243187006841264,0.5558676850350022,2.8667160971803085,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E3,2,-7.8856422634484495,1.8103686187795405,0.036830669355848,0.9944018983744104,14.971552173852354,0.2096479034302252,5.9999998511174555,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E4,3,-7.859606661280019,1.812837603343607,0.0421801453361479,0.9916185141143656,9.30000945856398,0.5774351600971492,2.9452078841885876,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E4,3,-7.859606661280019,1.812837603343607,0.0421801453361479,0.9916185141143656,15.084839456472269,0.1939750229127987,5.999999975306727,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E5,4,-7.894045720360168,1.810400154354037,0.0418464733042726,0.9918348064380186,9.330028385894414,0.5884867771949942,3.0072462463413516,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E5,4,-7.894045720360168,1.810400154354037,0.0418464733042726,0.9918348064380186,15.298142591376338,0.194043006941456,5.999999983813784,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E6,5,-7.996756094271595,1.8107841330277064,0.0399578875828343,0.992565155240918,9.407632655509635,0.6243073854715231,3.1523098418125475,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E6,5,-7.996756094271595,1.8107841330277064,0.0399578875828343,0.992565155240918,15.947188945105424,0.2164524874003799,5.999999960899247,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E7,6,-8.43925188279679,1.7659237507085606,0.025569493603411,0.9965996147357078,8.193331569637515,0.798222663518457,1.752679304533766,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E7,6,-8.43925188279679,1.7659237507085606,0.025569493603411,0.9965996147357078,10.347820101193047,0.6845219280065855,2.8641805045462756,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E7,6,-8.43925188279679,1.7659237507085606,0.025569493603411,0.9965996147357078,13.667419282054066,0.3200434023566547,1.444448286415529,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E7,6,-8.43925188279679,1.7659237507085606,0.025569493603411,0.9965996147357078,17.341300485611285,0.3078309931938587,5.818085552771122,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E8,7,-8.768159180101271,1.7307228098456002,0.025030866190022,0.9969096305558162,8.176304487190626,0.7995605998661954,1.738451916264561,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E8,7,-8.768159180101271,1.7307228098456002,0.025030866190022,0.9969096305558162,10.314037560052457,0.6607516302174314,2.8722245974422953,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E8,7,-8.768159180101271,1.7307228098456002,0.025030866190022,0.9969096305558162,13.66811920226139,0.3030527402604974,1.5107191418707036,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E8,7,-8.768159180101271,1.7307228098456002,0.025030866190022,0.9969096305558162,17.277427272507023,0.2734835735408811,5.7849805886157,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E9,8,-9.420483520697212,1.541932490374094,0.0213399202345145,0.9974373350106598,8.143631211759715,0.7962319678768708,1.7824981158941449,137,2025-12-19 00:38:37.159685,12,1,8
sub-137,E9,8,-9.420483520697212,1.541932490374094,0.0213399202345145,0.9974373350106598,10.346580860787917,0.6068362288755704,2.8333294664259583,137,2025-12-19 00:38:37.159685,12,1,8
