ch,CF,PW,BW,ID,offset,exponent,error,r_squared,sub_id,timestamp,nr_intepolated_channels,nr_dropped_ica,nr_retained_epochs,nr_retained_ica
E1,7.433927454059308,0.442961976153347,2.268313905596228,0,-8.211087194744888,1.2016506428050282,0.028641975126085493,0.9924640049734212,125,2024-06-26 01:13:23.307193,3,6,74,11
E1,37.70138025137798,0.15411410303121897,5.99999999995757,0,-8.211087194744888,1.2016506428050282,0.028641975126085493,0.9924640049734212,125,2024-06-26 01:13:23.307193,3,6,74,11
E2,7.306231450795974,0.4893780336231597,2.230084291438152,1,-8.498764531339067,1.0105470234250977,0.02675598466992497,0.9890284342226319,125,2024-06-26 01:13:23.307193,3,6,74,11
E2,29.668157904671396,0.21472877290272052,5.999999999999999,1,-8.498764531339067,1.0105470234250977,0.02675598466992497,0.9890284342226319,125,2024-06-26 01:13:23.307193,3,6,74,11
E2,36.86174956876224,0.2213389612791392,5.999999999999999,1,-8.498764531339067,1.0105470234250977,0.02675598466992497,0.9890284342226319,125,2024-06-26 01:13:23.307193,3,6,74,11
E3,6.386252535985926,0.4806363624226364,4.9948417547162896,2,-9.140452587054554,0.49052616071551436,0.061945835992714374,0.9012308379964962,125,2024-06-26 01:13:23.307193,3,6,74,11
E3,27.64711437386556,0.2987078852045464,5.399381017593841,2,-9.140452587054554,0.49052616071551436,0.061945835992714374,0.9012308379964962,125,2024-06-26 01:13:23.307193,3,6,74,11
E3,33.527398095957864,0.31203349468217745,5.999999999999999,2,-9.140452587054554,0.49052616071551436,0.061945835992714374,0.9012308379964962,125,2024-06-26 01:13:23.307193,3,6,74,11
E4,6.11266360365242,0.5833372167592419,5.337985762640632,3,-9.591761365156508,0.1620426317957122,0.06598412390596718,0.8748952968388142,125,2024-06-26 01:13:23.307193,3,6,74,11
E4,27.361381916553835,0.36540533990241997,5.439663118702023,3,-9.591761365156508,0.1620426317957122,0.06598412390596718,0.8748952968388142,125,2024-06-26 01:13:23.307193,3,6,74,11
E4,32.83261812023338,0.3966505922877914,5.999999999999999,3,-9.591761365156508,0.1620426317957122,0.06598412390596718,0.8748952968388142,125,2024-06-26 01:13:23.307193,3,6,74,11
E5,6.834184358024278,0.6368055715521965,3.8090309134459974,4,-9.484453604517403,0.34445675471117754,0.08697058349713663,0.8389847230137529,125,2024-06-26 01:13:23.307193,3,6,74,11
E5,30.882796323122594,0.5269499185272366,5.999999999999999,4,-9.484453604517403,0.34445675471117754,0.08697058349713663,0.8389847230137529,125,2024-06-26 01:13:23.307193,3,6,74,11
E6,6.884793563280077,0.7337918221343944,2.1284701637849626,5,-9.11042440649221,0.9975214401228273,0.03525743652614593,0.9838100095719665,125,2024-06-26 01:13:23.307193,3,6,74,11
E6,9.46576932912548,0.2676937700694424,3.680348094677855,5,-9.11042440649221,0.9975214401228273,0.03525743652614593,0.9838100095719665,125,2024-06-26 01:13:23.307193,3,6,74,11
E6,29.47720657011374,0.3596374302543204,5.999999999999999,5,-9.11042440649221,0.9975214401228273,0.03525743652614593,0.9838100095719665,125,2024-06-26 01:13:23.307193,3,6,74,11
E6,36.769488659599496,0.23669692343282733,5.999999999949396,5,-9.11042440649221,0.9975214401228273,0.03525743652614593,0.9838100095719665,125,2024-06-26 01:13:23.307193,3,6,74,11
E7,6.8737081806876645,0.8175112987972142,2.22195525527264,6,-9.51881486034509,1.0919776803336905,0.04095239005205414,0.9859721056829372,125,2024-06-26 01:13:23.307193,3,6,74,11
E7,9.894603667171628,0.3342202623066193,4.56753150830648,6,-9.51881486034509,1.0919776803336905,0.04095239005205414,0.9859721056829372,125,2024-06-26 01:13:23.307193,3,6,74,11
E7,31.777694617697616,0.19385719643179478,5.99999999073438,6,-9.51881486034509,1.0919776803336905,0.04095239005205414,0.9859721056829372,125,2024-06-26 01:13:23.307193,3,6,74,11
E8,6.825963685570433,0.7629687009044286,2.0640775702063006,7,-10.095544202564666,0.9167311068437943,0.0407055808263019,0.9838003555815816,125,2024-06-26 01:13:23.307193,3,6,74,11
E8,9.327073457942396,0.35264037815806226,3.984602215332302,7,-10.095544202564666,0.9167311068437943,0.0407055808263019,0.9838003555815816,125,2024-06-26 01:13:23.307193,3,6,74,11
E9,6.6080702514713705,0.33372150304048454,4.846421742517563,8,-10.999899478722867,0.44856508804492545,0.07016758081605685,0.8574643290560009,125,2024-06-26 01:13:23.307193,3,6,74,11
E9,22.333374026476424,0.18146601432963116,4.523119672728673,8,-10.999899478722867,0.44856508804492545,0.07016758081605685,0.8574643290560009,125,2024-06-26 01:13:23.307193,3,6,74,11
E10,6.759371091737975,0.5319621267454657,1.554302591834662,9,-8.549315024363437,0.9707899396143471,0.035068194483876075,0.982799761908493,125,2024-06-26 01:13:23.307193,3,6,74,11
E10,8.195795757641362,0.35915082574600277,2.4115845985415847,9,-8.549315024363437,0.9707899396143471,0.035068194483876075,0.982799761908493,125,2024-06-26 01:13:23.307193,3,6,74,11
E10,33.13188612025382,0.194134504020818,5.999999999999999,9,-8.549315024363437,0.9707899396143471,0.035068194483876075,0.982799761908493,125,2024-06-26 01:13:23.307193,3,6,74,11
